catapult_rugby_training_session
Timestamp,Seconds,Latitude,Longitude,Velocity (m/s),Velocity (km/h),Acceleration (m/s2),Odometer (m),Player Load (au),Heart Rate (bpm),Session Phase
09:03:00.000,0.0,51.456012,-0.341250,0.32,1.15,3.20,0.0,0.0,79,Warm-up
09:03:00.100,0.1,51.456012,-0.341251,0.64,2.30,3.20,0.1,0.1,79,Warm-up
09:03:00.200,0.2,51.456011,-0.341253,0.96,3.46,3.20,0.2,0.1,79,Warm-up
09:03:00.300,0.3,51.456011,-0.341254,1.27,4.58,3.13,0.3,0.1,80,Warm-up
09:03:00.400,0.4,51.456011,-0.341257,1.59,5.73,3.20,0.5,0.2,81,Warm-up
09:03:00.500,0.5,51.456012,-0.341259,1.91,6.89,3.20,0.7,0.2,81,Warm-up
09:03:00.600,0.6,51.456012,-0.341262,2.11,7.59,1.97,0.9,0.2,83,Warm-up
09:03:00.700,0.7,51.456012,-0.341266,2.30,8.26,1.86,1.1,0.2,84,Warm-up
09:03:00.800,0.8,51.456013,-0.341269,2.62,9.41,3.20,1.4,0.3,85,Warm-up
09:03:00.900,0.9,51.456014,-0.341273,2.64,9.51,0.28,1.6,0.3,87,Warm-up
09:03:01.000,1.0,51.456015,-0.341276,2.75,9.91,1.10,1.9,0.3,88,Warm-up
09:03:01.100,1.1,51.456016,-0.341280,2.92,10.52,1.68,2.2,0.3,89,Warm-up
09:03:01.200,1.2,51.456017,-0.341284,2.96,10.65,0.37,2.5,0.3,90,Warm-up
09:03:01.300,1.3,51.456017,-0.341288,2.99,10.75,0.28,2.8,0.3,91,Warm-up
09:03:01.400,1.4,51.456016,-0.341293,3.21,11.55,2.23,3.1,0.4,93,Warm-up
09:03:01.500,1.5,51.456016,-0.341297,3.28,11.81,0.71,3.4,0.4,93,Warm-up
09:03:01.600,1.6,51.456014,-0.341302,3.50,12.60,2.20,3.8,0.4,95,Warm-up
09:03:01.700,1.7,51.456013,-0.341306,3.27,11.77,-2.29,4.1,0.4,96,Warm-up
09:03:01.800,1.8,51.456012,-0.341311,3.17,11.43,-0.96,4.4,0.4,97,Warm-up
09:03:01.900,1.9,51.456011,-0.341315,3.38,12.17,2.06,4.8,0.4,97,Warm-up
09:03:02.000,2.0,51.456010,-0.341319,3.36,12.11,-0.17,5.1,0.5,98,Warm-up
09:03:02.100,2.1,51.456008,-0.341324,3.68,13.26,3.20,5.5,0.5,99,Warm-up
09:03:02.200,2.2,51.456006,-0.341328,3.48,12.53,-2.03,5.8,0.5,100,Warm-up
09:03:02.300,2.3,51.456004,-0.341332,3.42,12.30,-0.63,6.2,0.5,101,Warm-up
09:03:02.400,2.4,51.456003,-0.341336,3.46,12.44,0.38,6.5,0.5,102,Warm-up
09:03:02.500,2.5,51.456001,-0.341340,3.27,11.79,-1.80,6.8,0.6,103,Warm-up
09:03:02.600,2.6,51.455999,-0.341344,3.26,11.74,-0.13,7.2,0.6,105,Warm-up
09:03:02.700,2.7,51.455998,-0.341348,3.21,11.54,-0.55,7.5,0.6,105,Warm-up
09:03:02.800,2.8,51.455996,-0.341351,3.21,11.55,0.03,7.8,0.6,106,Warm-up
09:03:02.900,2.9,51.455994,-0.341355,3.24,11.65,0.27,8.1,0.6,107,Warm-up
09:03:03.000,3.0,51.455992,-0.341359,3.21,11.57,-0.22,8.5,0.6,108,Warm-up
09:03:03.100,3.1,51.455991,-0.341363,3.11,11.21,-1.00,8.8,0.6,109,Warm-up
09:03:03.200,3.2,51.455990,-0.341367,3.15,11.34,0.37,9.1,0.6,110,Warm-up
09:03:03.300,3.3,51.455987,-0.341368,3.09,11.13,-0.60,9.4,0.6,110,Warm-up
09:03:03.400,3.4,51.455985,-0.341370,3.14,11.30,0.48,9.7,0.6,111,Warm-up
09:03:03.500,3.5,51.455982,-0.341371,3.05,10.97,-0.93,10.0,0.6,112,Warm-up
09:03:03.600,3.6,51.455979,-0.341372,3.03,10.92,-0.12,10.3,0.7,112,Warm-up
09:03:03.700,3.7,51.455977,-0.341373,3.01,10.85,-0.21,10.6,0.7,112,Warm-up
09:03:03.800,3.8,51.455974,-0.341373,2.78,10.01,-2.33,10.9,0.7,113,Warm-up
09:03:03.900,3.9,51.455972,-0.341370,2.81,10.11,0.30,11.2,0.7,114,Warm-up
09:03:04.000,4.0,51.455971,-0.341367,2.76,9.93,-0.50,11.5,0.7,114,Warm-up
09:03:04.100,4.1,51.455970,-0.341364,2.71,9.75,-0.50,11.7,0.7,115,Warm-up
09:03:04.200,4.2,51.455969,-0.341359,3.02,10.86,3.07,12.0,0.7,116,Warm-up
09:03:04.300,4.3,51.455969,-0.341355,3.04,10.93,0.19,12.3,0.8,117,Warm-up
09:03:04.400,4.4,51.455969,-0.341351,2.96,10.67,-0.71,12.6,0.8,117,Warm-up
09:03:04.500,4.5,51.455971,-0.341347,3.05,11.00,0.90,12.9,0.8,117,Warm-up
09:03:04.600,4.6,51.455972,-0.341344,3.05,10.98,-0.03,13.2,0.8,117,Warm-up
09:03:04.700,4.7,51.455974,-0.341340,3.22,11.58,1.64,13.6,0.8,118,Warm-up
09:03:04.800,4.8,51.455976,-0.341337,3.18,11.44,-0.38,13.9,0.8,118,Warm-up
09:03:04.900,4.9,51.455978,-0.341333,3.03,10.92,-1.43,14.2,0.8,119,Warm-up
09:03:05.000,5.0,51.455980,-0.341330,3.26,11.74,2.26,14.5,0.9,120,Warm-up
09:03:05.100,5.1,51.455981,-0.341326,3.27,11.76,0.05,14.8,0.9,121,Warm-up
09:03:05.200,5.2,51.455983,-0.341322,3.24,11.66,-0.26,15.2,0.9,122,Warm-up
09:03:05.300,5.3,51.455984,-0.341318,3.33,12.00,0.94,15.5,0.9,123,Warm-up
09:03:05.400,5.4,51.455986,-0.341314,3.42,12.30,0.82,15.8,0.9,123,Warm-up
09:03:05.500,5.5,51.455988,-0.341310,3.47,12.50,0.56,16.2,0.9,124,Warm-up
09:03:05.600,5.6,51.455990,-0.341307,3.27,11.77,-2.01,16.5,0.9,124,Warm-up
09:03:05.700,5.7,51.455992,-0.341303,3.21,11.55,-0.63,16.8,0.9,125,Warm-up
09:03:05.800,5.8,51.455994,-0.341300,3.21,11.56,0.03,17.1,0.9,125,Warm-up
09:03:05.900,5.9,51.455996,-0.341297,3.13,11.28,-0.78,17.5,0.9,125,Warm-up
09:03:06.000,6.0,51.455999,-0.341294,3.23,11.63,0.97,17.8,1.0,125,Warm-up
09:03:06.100,6.1,51.456001,-0.341290,3.38,12.17,1.52,18.1,1.0,125,Warm-up
09:03:06.200,6.2,51.456003,-0.341287,3.51,12.63,1.25,18.5,1.0,126,Warm-up
09:03:06.300,6.3,51.456006,-0.341288,3.60,12.95,0.91,18.8,1.0,127,Warm-up
09:03:06.400,6.4,51.456009,-0.341288,3.58,12.90,-0.13,19.2,1.0,128,Warm-up
09:03:06.500,6.5,51.456012,-0.341289,3.45,12.41,-1.38,19.5,1.0,128,Warm-up
09:03:06.600,6.6,51.456016,-0.341289,3.55,12.80,1.08,19.9,1.0,129,Warm-up
09:03:06.700,6.7,51.456019,-0.341290,3.42,12.31,-1.35,20.2,1.1,130,Warm-up
09:03:06.800,6.8,51.456021,-0.341291,3.11,11.19,-3.13,20.5,1.1,130,Warm-up
09:03:06.900,6.9,51.456024,-0.341292,3.19,11.49,0.84,20.9,1.1,130,Warm-up
